,Geographic Area Name,Population
196,Everett,46118
181,Arlington,45304
50,Attleboro,44789
1,Barnstable,44406
104,Salem,43252
187,Billerica,43200
37,Pittsfield,42766
79,Beverly,41885
321,Leominster,41606
157,Westfield,41449
311,Fitchburg,40702
233,Woburn,40304
146,Holyoke,40241
294,Chelsea,39992
160,Amherst,39814
207,Marlborough,39736
339,Shrewsbury,37416
238,Braintree,37220
211,Natick,36128
78,Andover,35816
227,Watertown,35401
192,Chelmsford,35126
52,Dartmouth,34204
256,Randolph,34064
202,Lexington,33340
245,Franklin,33256
194,Dracut,31373
7,Falmouth,31124
222,Tewksbury,31098
251,Needham,30970
100,North Andover,30842
84,Gloucester,30162
253,Norwood,29306
60,North Attleborough,29180
324,Milford,28883
260,Wellesley,28747
137,Agawam,28696
258,Stoughton,28639
158,West Springfield,28609
171,Northampton,28516
106,Saugus,28215
210,Melrose,28113
189,Burlington,27650
81,Danvers,27586
250,Milton,27572
266,Bridgewater,27436
225,Wakefield,26993
186,Belmont,26113
279,Marshfield,25838
242,Dedham,25283
215,Reading,25132
259,Walpole,25129
281,Middleborough,24850
54,Easton,24621
229,Westford,24342
58,Mansfield,23947
274,Hingham,23652
180,Acton,23627
231,Wilmington,23377
240,Canton,23369
15,Yarmouth,23338
219,Stoneham,23223
232,Winchester,22738
289,Wareham,22641
148,Ludlow,21291
312,Gardner,20610
93,Marblehead,20500
12,Sandwich,20286
201,Hudson,19887
2,Bourne,19831
61,Norton,19745
221,Sudbury,19122
193,Concord,19116
316,Holden,19051
351,Westborough,19037
313,Grafton,18743
288,Scituate,18720
296,Winthrop,18542
257,Sharon,18526
283,Pembroke,18380
65,Somerset,18165
99,Newburyport,18077
287,Rockland,17953
244,Foxborough,17727
183,Ashland,17710
175,South Hadley,17703
200,Hopkinton,17598
77,Amesbury,17434
120,Greenfield,17375
237,Bellingham,17108
350,Webster,16973
341,Southbridge,16887
299,Auburn,16684
329,Northbridge,16582
66,Swansea,16567
265,Abington,16436
142,East Longmeadow,16242
261,Westwood,16136
55,Fairhaven,16045
164,Easthampton,15960
68,Westport,15925
269,Duxbury,15812
147,Longmeadow,15791
213,North Reading,15581
64,Seekonk,15441
328,Northborough,15056
291,Whitman,15056
161,Belchertown,15005
107,Swampscott,15002
199,Holliston,14724
159,Wilbraham,14638
270,East Bridgewater,14466
272,Hanover,14459
62,Raynham,14196
9,Mashpee,14148
185,Bedford,14142
348,Uxbridge,13993
332,Oxford,13974
88,Ipswich,13963
5,Dennis,13939
307,Clinton,13935
228,Wayland,13802
325,Millbury,13732
276,Kingston,13566
306,Charlton,13550
248,Medway,13325
34,North Adams,12959
91,Lynnfield,12894
247,Medfield,12841
224,Tyngsborough,12364
151,Palmer,12237
63,Rehoboth,12173
8,Harwich,12147
230,Weston,12112
214,Pepperell,12105
342,Spencer,11928
263,Wrentham,11823
252,Norfolk,11786
309,Dudley,11723
268,Carver,11720
298,Athol,11713
322,Lunenburg,11402
277,Lakeville,11372
198,Groton,11313
320,Leicester,11306
235,Nantucket,11168
282,Norwell,11054
246,Holbrook,11045
355,Winchendon,10841
273,Hanson,10777
208,Maynard,10754
49,Acushnet,10529
275,Hull,10455
340,Southborough,10121
204,Littleton,10071
