,Geographic Area Name,Population
165,Goshen,913
39,Sandisfield,891
47,Windsor,862
135,Wendell,862
163,Cummington,845
36,Peru,823
23,Florida,808
150,Montgomery,798
134,Warwick,796
30,Monterey,774
122,Heath,746
124,Leyden,710
40,Savoy,680
173,Plainfield,661
25,Hancock,599
69,Aquinnah,531
155,Tolland,530
44,Washington,502
43,Tyringham,474
130,Rowe,441
17,Alford,431
170,Middlefield,408
121,Hawley,370
32,New Ashford,299
31,Mount Washington,148
125,Monroe,87
72,Gosnold,49
