,Geographic Area Name,Population
56,Fall River,89388
212,Newton,88593
218,Somerville,80906
89,Lawrence,79942
197,Framingham,72308
87,Haverhill,63533
226,Waltham,62777
206,Malden,60984
284,Plymouth,60024
239,Brookline,59180
209,Medford,57637
67,Taunton,57124
262,Weymouth,56734
141,Chicopee,55421
295,Revere,53692
101,Peabody,52906
95,Methuen,50282
