property_address_city,0
Worcester,3743
Springfield,2983
Fall River,2355
New Bedford,2282
Lowell,1741
Dorchester,1576
Brockton,1507
Boston,1392
Lynn,1205
Lawrence,1194
Framingham,1154
Quincy,870
Pittsfield,852
Dorchester Center,783
Fitchburg,777
Haverhill,757
Revere,691
Holyoke,681
Roxbury,667
Chicopee,632
Cambridge,627
Taunton,611
Randolph,584
Hyde Park,559
Marlborough,540
Malden,529
Chelsea,487
Salem,429
Mattapan,416
Somerville,413
Leominster,397
Everett,397
Peabody,396
Braintree,366
Waltham,329
Norwood,328
Gardner,318
Attleboro,312
North Adams,293
Southbridge,292
Jamaica Plain,290
Methuen,290
East Boston,288
Brighton,275
Medford,266
Plymouth,265
Hyannis,260
Stoughton,254
Milford,241
Beverly,238
Roxbury Crossing,237
Roslindale,234
Webster,228
Bridgewater,226
West Springfield,221
East Weymouth,212
Weymouth,210
Rockland,209
Woburn,207
South Boston,203
Greenfield,199
Allston,192
Westfield,189
Middleboro,183
Indian Orchard,175
Athol,172
Mansfield,163
Charlestown,159
North Andover,150
Tewksbury,150
Westborough,149
Saugus,149
Danvers,144
Gloucester,138
Canton,138
North Attleboro,134
Foxboro,132
Franklin,130
Brookline,130
Dracut,125
Shrewsbury,124
Whitman,113
Winthrop,111
Adams,111
Abington,109
East Wareham,109
East Falmouth,108
Chelmsford,105
E. Boston,105
Wareham,104
Ware,103
Spencer,102
Billerica,102
Andover,101
Marshfield,100
Clinton,98
Mashpee,96
Oxford,95
South Yarmouth,93
Orange,90
Amherst,86
Ashland,85
Amesbury,85
Dedham,85
Holbrook,84
span,84
Hull,82
Arlington,81
Winchendon,80
Watertown,80
Northampton,80
Wakefield,78
Bellingham,76
Belchertown,76
South Weymouth,75
Natick,75
West Roxbury,75
Norton,73
Feeding Hills,71
Hudson,70
Whitinsville,70
Lunenburg,70
Fairhaven,70
Ludlow,70
Seekonk,68
Needham,67
Stoneham,67
Walpole,67
Northborough,64
Salisbury,64
South Easton,63
Burlington,62
West Yarmouth,62
Raynham,62
Melrose,62
Millbury,62
Ayer,60
North Dartmouth,59
Falmouth,59
Palmer,58
Westwood,57
Easthampton,56
Agawam,55
South Hadley,55
Turners Falls,55
Hingham,49
Florence,48
Bedford,48
Lakeville,47
Auburn,47
North Billerica,47
Newburyport,47
Belmont,46
Hanover,46
Hopkinton,46
Carver,45
Pembroke,45
Swampscott,45
Westport,44
Chestnut Hill,44
Wilmington,44
Dudley,44
Marblehead,43
Sudbury,43
Dennis Port,42
Pepperell,42
Medfield,41
Nantucket,41
Westford,40
Uxbridge,40
Buzzards Bay,40
Ipswich,39
Centerville,39
Tyngsboro,39
Lexington,38
Kingston,38
Plainville,37
Acton,37
Duxbury,37
Milton,36
Somerset,36
Northbridge,34
Reading,34
Newton,34
Charlton,34
Three Rivers,33
Swansea,33
Sharon,33
Scituate,33
South Dennis,33
Holden,33
Shirley,32
Maynard,31
North Chelmsford,31
Onset,31
North Reading,30
East Taunton,30
Bourne,30
Harwich,29
Cohasset,28
Millis,28
Wrentham,28
Newton Highlands,28
North Easton,27
Brewster,27
Townsend,27
East Sandwich,27
Great Barrington,27
East Bridgewater,27
Bradford,26
Blackstone,26
Gilbertville,26
Sandwich,26
Leicester,25
Marstons Mills,24
Hanson,23
West Boylston,23
Needham Heights,23
Eastham,23
South Dartmouth,23
West Wareham,23
Lynnfield,23
Warren,22
Medway,22
Marion,21
East Longmeadow,21
Concord,21
North Brookfield,21
Dartmouth,21
Provincetown,21
Baldwinville,20
Sturbridge,20
Newton Center,20
Southwick,20
Wellesley,20
Holliston,20
Rehoboth,20
Cherry Valley,19
Halifax,19
Yarmouth Port,19
Chatham,19
Vineyard Haven,18
Wilbraham,18
Littleton,18
North Grafton,18
Wellesley Hills,17
Dalton,17
Avon,17
Monson,17
Williamstown,17
Rockport,17
West Bridgewater,16
North Weymouth,16
Grafton,16
South Grafton,16
East Walpole,16
Mattapoisett,16
Forestdale,15
Orleans,15
Douglas,15
Fiskdale,15
Hardwick,15
Winchester,15
Newtonville,14
Boylston,14
Pocasset,14
Hopedale,14
J,14
West Brookfield,14
Lancaster,14
Sheffield,13
Sutton,13
Rutland,13
West Dennis,13
Acushnet,13
Cheshire,13
Southborough,13
Georgetown,13
Upton,12
Sunderland,12
Bondsville,12
Boxborough,12
Dennis,12
Granby,12
Edgartown,12
Westminster,12
Jefferson,12
West Newton,11
West Harwich,11
Nahant,11
Lanesborough,11
Cotuit,11
Southampton,11
Norwell,11
Oak Bluffs,11
Sagamore Beach,10
Merrimac,10
Barre,10
Sterling,10
Rowley,10
Thorndike,10
Wayland,10
Brookfield,10
Huntington,10
Mendon,9
Osterville,9
Auburndale,9
Manchester,9
Groveland,9
Dighton,9
Newton Upper Falls,9
Millville,8
Groton,8
Barnstable,8
Middleton,8
Wellfleet,8
Northfield,8
Sagamore,8
Lee,8
Ashburnham,8
North Falmouth,8
Assonet,8
East Freetown,8
North Oxford,8
Templeton,7
Foxborough,7
South Deerfield,7
Ashby,7
Lenox,7
Harwich Port,7
Norfolk,7
West Barnstable,7
Becket,7
Russell,7
Shelburne Falls,7
Bolton,7
Hadley,7
Princeton,6
Brimfield,6
Weston,6
Stockbridge,6
Rochdale,6
Longmeadow,6
West Newbury,6
North Dighton,6
Berlin,6
West Townsend,6
Waban,5
Wales,5
Stow,5
Dover,5
Essex,5
West Warren,5
West Hyannisport,5
Wenham,5
Oakham,5
Holland,5
Berkley,5
Richmond,5
Charlemont,5
Lincoln,5
Rochester,5
Buckland,5
Easton,4
Montague,4
Hinsdale,4
Paxton,4
Otis,4
Hatfield,4
Woronoco,4
Hubbardston,4
South Barre,4
Ashfield,4
Plympton,4
Boxford,3
North Egremont,3
Millers Falls,3
Truro,3
Leverett,3
Wendell,3
Rowe,3
Erving,3
Hampden,3
Carlisle,3
Leeds,3
West Stockbridge,3
Clarksburg,3
Sherborn,3
Hamilton,3
Newton Lower Falls,3
Byfield,2
East Brookfield,2
Housatonic,2
North Uxbridge,2
West Tisbury,2
North Chatham,2
East Dennis,2
Cummington,2
Granville,2
Phillipston,2
Royalston,2
Dunstable,2
South Lancaster,2
South Hamilton,2
Chester,2
East Templeton,2
Manchaug,2
Shutesbury,2
Woods Hole,2
Bernardston,2
Warwick,2
Mill River,2
Colrain,2
Topsfield,2
Harvard,2
Williamsburg,2
Monument Beach,2
Petersham,2
Haydenville,2
Arlington Heights,1
Whately,1
Aquinnah,1
Chilmark,1
Wheelwright,1
Monterey,1
Montgomery,1
White Horse Beach,1
Whi,1
Wendell Depot,1
Newbury,1
E. Weymouth,1
South Chatham,1
South Attleboro,1
Squantum,1
Siasconset,1
Goshen,1
Hanscom Afb,1
Savoy,1
Blandford,1
Teaticket,1
Freetown,1
Florida,1
Newton Centre,1
RB Springfield,1
Plainfield,1
Peru,1
First Floor Lynn,1
Fayville,1
South Walpole,1
North Truro,1
North Pembroke,1
West Chatham,1
West Groton,1
Manomet,1
