case_number,court_division,court_location,disposition,disposition_date,disposition_found,duration,execution,file_date,hasAttyD,hasAttyP,inhad,inhap,initiating_action,isEntityD,isEntityP,judgment,judgment_for,judgment_for_pdu,judgment_total,latest_docket_date,property_address_city,property_address_state,property_address_zip,reason
21H84SP000102,eastern,,Pending,,,,,1/8/2021,0,1,0,1,Efiled SP Summons and Complaint - Non-payment of Rent,0,0,,,,,1/12/2021,,,,non-payment
21H84SP000103,eastern,,Pending,,,,,1/8/2021,0,1,1,0,Efiled SP Summons and Complaint - Cause,0,1,,,,,1/12/2021,,,,cause
21H84SP000104,eastern,,Pending,,,,,1/8/2021,0,1,1,0,Efiled SP Summons and Complaint - Cause,0,1,,,,,1/12/2021,,,,cause
21H84SP000105,eastern,,Pending,,,,,1/8/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/14/2021,,,,non-payment
21H84SP000106,eastern,,Pending,,,,,1/8/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/12/2021,,,,non-payment
21H84SP000107,eastern,,Pending,,,,,1/8/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/12/2021,,,,non-payment
21H84SP000109,eastern,,Pending,,,,,1/8/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/12/2021,,,,non-payment
21H84SP000110,eastern,,Pending,,,,,1/8/2021,0,1,0,1,Efiled SP Summons and Complaint - Non-payment of Rent,0,0,,,,,1/19/2021,,,,non-payment
21H84SP000111,eastern,,Pending,,,,,1/7/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/12/2021,,,,non-payment
21H84SP000113,eastern,,Pending,,,,,1/7/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/12/2021,,,,non-payment
21H84SP000114,eastern,,Pending,,,,,1/7/2021,0,1,0,1,Efiled SP Summons and Complaint - Cause,0,0,,,,,1/12/2021,,,,cause
21H84SP000115,eastern,,Pending,,,,,1/7/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/12/2021,,,,non-payment
21H84SP000116,eastern,,Pending,,,,,1/7/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/12/2021,,,,non-payment
21H84SP000117,eastern,,Pending,,,,,1/7/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/12/2021,,,,non-payment
21H84SP000120,eastern,,Pending,,,,,1/7/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/12/2021,,,,non-payment
21H84SP000121,eastern,,Pending,,,,,1/7/2021,1,1,1,1,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/12/2021,,,,non-payment
21H84SP000059,eastern,,Pending,,,,,1/11/2021,0,0,0,0,SP Summons and Complaint - Non-payment of Rent,0,0,,,,,1/21/2021,Mattapan,MA,02126,non-payment
21H84SP000060,eastern,,Pending,,,,,1/11/2021,0,0,0,0,SP Summons and Complaint - Cause,0,1,,,,,1/11/2021,Dorchester,MA,02125,cause
21H84SP000061,eastern,,Pending,,,,,1/11/2021,0,0,0,0,SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/11/2021,Dorchester,MA,02125,non-payment
21H84SP000062,eastern,,Pending,,,,,1/11/2021,0,0,0,0,SP Summons and Complaint - Cause,0,0,,,,,1/11/2021,Dorchester Center,MA,02124,cause
21H84SP000065,eastern,,Pending,,,,,1/11/2021,0,0,0,0,SP Summons and Complaint - Non-payment of Rent,0,0,,,,,1/11/2021,Roxbury,MA,02119,non-payment
21H84SP000066,eastern,,Pending,,,,,1/12/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/21/2021,,,,non-payment
21H84SP000067,eastern,,Pending,,,,,1/12/2021,1,1,1,1,SP Transfer - Cause,0,1,,,,,1/19/2021,Dorchester,MA,02125,cause
21H84SP000068,eastern,,Pending,,,,,1/12/2021,0,1,0,1,Efiled SP Summons and Complaint - Cause,0,0,,,,,1/19/2021,,,,cause
21H84SP000069,eastern,,Pending,,,,,1/12/2021,1,1,1,1,SP Transfer - Cause,0,1,,,,,1/19/2021,Dorchester,MA,02125,cause
21H84SP000070,eastern,,Pending,,,,,1/12/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/15/2021,,,,non-payment
21H84SP000071,eastern,,Pending,,,,,1/12/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/15/2021,,,,non-payment
21H84SP000072,eastern,,Pending,,,,,1/12/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/15/2021,,,,non-payment
21H84SP000073,eastern,,Pending,,,,,1/12/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/15/2021,,,,non-payment
21H84SP000074,eastern,,Pending,,,,,1/12/2021,0,1,1,0,Efiled SP Summons and Complaint - Cause,0,1,,,,,1/15/2021,,,,cause
21H84SP000075,eastern,,Pending,,,,,1/12/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/15/2021,,,,non-payment
21H84SP000076,eastern,,Pending,,,,,1/12/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/15/2021,,,,non-payment
21H84SP000077,eastern,,Pending,,,,,1/12/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/15/2021,,,,non-payment
21H84SP000078,eastern,,Pending,,,,,1/12/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/15/2021,,,,non-payment
21H84SP000079,eastern,,Pending,,,,,1/12/2021,0,1,1,0,SP Transfer - Cause,0,1,,,,,1/19/2021,Arlington,MA,02476,cause
21H84SP000080,eastern,,Pending,,,,,1/12/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/15/2021,,,,non-payment
21H84SP000081,eastern,,Pending,,,,,1/12/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/15/2021,,,,non-payment
21H84SP000082,eastern,,Pending,,,,,1/11/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/12/2021,,,,non-payment
21H84SP000083,eastern,,Pending,,,,,1/11/2021,0,1,1,0,Efiled SP Summons and Complaint - No Cause,0,1,,,,,1/12/2021,,,,no cause
21H84SP000084,eastern,,Pending,,,,,1/11/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/12/2021,,,,non-payment
21H84SP000085,eastern,,Pending,,,,,1/11/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/12/2021,,,,non-payment
21H84SP000086,eastern,,Pending,,,,,1/11/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/13/2021,,,,non-payment
21H84SP000087,eastern,,Pending,,,,,1/11/2021,0,1,1,0,Efiled SP Summons and Complaint - Cause,0,1,,,,,1/21/2021,,,,cause
21H84SP000088,eastern,,Pending,,,,,1/11/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/13/2021,,,,non-payment
21H84SP000089,eastern,,Pending,,,,,1/11/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/13/2021,,,,non-payment
21H84SP000090,eastern,,Pending,,,,,1/11/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/13/2021,,,,non-payment
21H84SP000091,eastern,,Pending,,,,,1/11/2021,0,1,0,1,Efiled SP Summons and Complaint - Cause,0,0,,,,,1/12/2021,,,,cause
21H84SP000092,eastern,,Pending,,,,,1/11/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/13/2021,,,,non-payment
