,Muni,Eviction Numbers,Total Households,Renter Occupied Pct,Renter Occupied,Evictions per Rented Households
0,Worcester,3743,71595,58.7,42026,0.08906391281587589
1,Springfield,2983,56358,53.4,30095,0.0991194550589799
2,Fall River,2355,38456,63.7,24496,0.09613814500326584
3,New Bedford,2282,38888,59.8,23255,0.09812943453020856
4,Lowell,1741,39421,57.7,22745,0.07654429544954935
5,Brockton,1507,31817,45.0,14317,0.10525948173500035
6,Boston,1392,269522,65.0,175189,0.007945704353583844
7,Lynn,1205,32599,55.1,17962,0.06708607059347511
8,Lawrence,1194,25959,69.0,17911,0.06666294455920943
9,Framingham,1154,28222,46.1,13010,0.08870099923136049
10,Quincy,870,41187,53.8,22158,0.03926347143243975
11,Pittsfield,852,19318,38.2,7379,0.11546279983737634
12,Fitchburg,777,14965,46.5,6958,0.11167002012072434
13,Haverhill,757,24256,42.9,10405,0.0727534839019702
14,Revere,691,19223,50.1,9630,0.07175493250259606
15,Holyoke,681,15278,59.3,9059,0.07517386024947566
16,Chicopee,632,23090,41.4,9559,0.06611570247933884
17,Cambridge,627,46835,65.2,30536,0.02053314121037464
18,Taunton,611,22359,37.6,8406,0.07268617654056626
19,Randolph,584,11832,32.1,3798,0.15376513954713006
20,Marlborough,540,15730,41.8,6575,0.08212927756653993
21,Malden,529,23025,59.0,13584,0.038942873969375735
22,Chelsea,487,13268,74.1,9831,0.04953717831349812
23,Salem,429,18437,48.5,8941,0.0479812101554636
24,Somerville,413,32802,66.4,21780,0.0189623507805326
25,Leominster,397,16830,42.2,7102,0.05589974655026753
26,Everett,397,16021,61.4,9836,0.04036193574623831
27,Peabody,396,21713,34.2,7425,0.05333333333333334
28,Braintree,366,14016,27.0,3784,0.096723044397463
29,Waltham,329,23690,48.3,11442,0.028753714385596922
30,Norwood,328,11971,42.5,5087,0.06447808138391979
31,Gardner,318,8228,48.0,3949,0.08052671562420866
32,Attleboro,312,17632,31.0,5465,0.057090576395242454
33,North Adams,293,5568,42.6,2371,0.12357654997891185
34,Southbridge,292,6813,55.8,3801,0.07682188897658511
35,Methuen,290,17907,28.2,5049,0.057437116260645675
36,Medford,266,22917,43.8,10037,0.026501942811597092
37,Plymouth,265,23345,20.3,4739,0.05591897024688753
38,Stoughton,254,10900,28.2,3073,0.08265538561666125
39,Milford,241,11046,31.0,3424,0.07038551401869159
40,Beverly,238,16443,39.5,6494,0.03664921465968586
41,Webster,228,6946,45.4,3153,0.07231208372978117
42,Bridgewater,226,8133,28.4,2309,0.0978778692074491
43,West Springfield,221,12605,41.2,5193,0.04255728865780859
44,Weymouth,210,23723,33.0,7828,0.02682677567705672
45,Rockland,209,6959,25.0,1739,0.12018401380103508
46,Woburn,207,15935,38.7,6166,0.03357119688614985
47,Greenfield,199,8063,43.7,3523,0.056485949474879366
48,Westfield,189,15271,32.9,5024,0.037619426751592355
49,Athol,172,4639,28.0,1298,0.1325115562403698
50,Mansfield,163,8650,27.5,2378,0.06854499579478554
51,North Andover,150,11112,28.6,3178,0.04719949653870359
52,Tewksbury,150,11822,14.7,1737,0.08635578583765112
53,Westborough,149,7069,37.0,2615,0.056978967495219884
54,Saugus,149,10424,19.4,2022,0.07368941641938674
55,Danvers,144,10689,28.7,3067,0.046951418324095204
56,Gloucester,138,13110,36.0,4719,0.029243483788938335
57,Canton,138,9064,23.6,2139,0.06451612903225806
58,Franklin,130,11941,19.3,2304,0.05642361111111111
59,Brookline,130,24436,51.1,12486,0.010411661060387635
60,Dracut,125,11501,21.4,2461,0.05079236082893133
61,Shrewsbury,124,13561,26.5,3593,0.03451155023657111
62,Whitman,113,5466,29.5,1612,0.07009925558312655
63,Winthrop,111,7831,44.1,3453,0.03214596003475239
64,Adams,111,3749,39.6,1484,0.0747978436657682
65,Abington,109,6396,26.7,1707,0.0638547158758055
66,Chelmsford,105,13564,15.7,2129,0.04931892907468295
67,Wareham,104,9497,27.4,2602,0.03996925441967717
68,Ware,103,4351,33.0,1435,0.07177700348432056
69,Spencer,102,4883,29.4,1435,0.0710801393728223
70,Billerica,102,14935,19.7,2942,0.03467029231815092
71,Andover,101,12801,18.7,2393,0.042206435436690344
72,Marshfield,100,9649,18.6,1794,0.055741360089186176
73,Clinton,98,5594,46.7,2612,0.03751914241960184
74,Mashpee,96,6360,13.4,852,0.11267605633802817
75,Oxford,95,5200,26.9,1398,0.06795422031473533
76,Orange,90,3102,30.5,946,0.09513742071881606
77,Amherst,86,9162,53.1,4865,0.017677286742034944
78,Ashland,85,6796,17.4,1182,0.07191201353637902
79,Amesbury,85,7215,29.8,2150,0.03953488372093023
80,Dedham,85,10035,27.9,2799,0.03036798856734548
81,Holbrook,84,4174,18.6,776,0.10824742268041238
82,Hull,82,4765,28.3,1348,0.06083086053412463
83,Arlington,81,19065,42.0,8007,0.010116148370176097
84,Winchendon,80,3781,28.2,1066,0.075046904315197
85,Watertown,80,15620,48.2,7528,0.010626992561105207
86,Northampton,80,11292,44.5,5024,0.01592356687898089
87,Wakefield,78,10723,25.5,2734,0.02852962692026335
88,Bellingham,76,6526,18.2,1187,0.06402695871946082
89,Belchertown,76,5563,18.6,1034,0.0735009671179884
90,Natick,75,14537,31.1,4521,0.0165892501658925
91,Norton,73,6570,14.8,972,0.07510288065843622
92,Hudson,70,7877,27.5,2166,0.032317636195752536
93,Lunenburg,70,4310,16.2,698,0.10028653295128939
94,Fairhaven,70,6392,24.4,1559,0.04490057729313662
95,Ludlow,70,7925,27.1,2147,0.032603632976245925
96,Seekonk,68,6052,16.2,980,0.06938775510204082
