,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
10,25,009,250500,1400000US25009250500,25009250500,2505,CT,300558,3894,"POLYGON ((-71.17165799999999 42.721271, -71.169961 42.720366, -71.16803 42.718834, -71.166994 42.717788, -71.16561799999999 42.716456, -71.16426299999999 42.715067, -71.16394 42.71420699999999, -71.1704 42.713496, -71.17059399999999 42.713466, -71.171161 42.714668, -71.171329 42.71609, -71.171486 42.717512, -71.171601 42.719107, -71.17165799999999 42.721271))"
11,25,009,251000,1400000US25009251000,25009251000,2510,CT,325774,4568,"POLYGON ((-71.163068 42.714243, -71.160838 42.713545, -71.15932699999999 42.713196, -71.15635399999999 42.714443, -71.155621 42.713192, -71.155632 42.711236, -71.15563 42.709169, -71.16179699999999 42.708469, -71.162319 42.709847, -71.16275899999999 42.711013, -71.16394 42.71420699999999, -71.163068 42.714243))"
12,25,025,050500,1400000US25025050500,25025050500,505,CT,111868,0,"POLYGON ((-71.03698899999999 42.369287, -71.033923 42.371932, -71.031204 42.370181, -71.03338699999999 42.367734, -71.03475399999999 42.36831, -71.03698899999999 42.369287))"
13,25,025,060101,1400000US25025060101,25025060101,601.01,CT,295623,0,"POLYGON ((-71.031283 42.334832, -71.029234 42.335729, -71.02931699999999 42.338238, -71.025133 42.33831, -71.025071 42.335802, -71.025026 42.334095, -71.025009 42.333281, -71.028074 42.332057, -71.031143 42.330653, -71.03119099999999 42.33236, -71.031226 42.333186, -71.03125399999999 42.334002, -71.031283 42.334832))"
14,25,025,060400,1400000US25025060400,25025060400,604,CT,399279,0,"POLYGON ((-71.04750799999999 42.334599, -71.04569499999999 42.335452, -71.045444 42.335452, -71.044269 42.33547, -71.04155 42.335518, -71.041511 42.333827, -71.041479 42.333016, -71.037336 42.33308, -71.03731399999999 42.332265, -71.037291 42.331432, -71.03724799999999 42.329525, -71.039542 42.33005199999999, -71.04405299999999 42.330192, -71.04738499999999 42.330136, -71.04738399999999 42.330419, -71.047415 42.331245, -71.047456 42.332966, -71.04750799999999 42.334599))"
15,25,025,061101,1400000US25025061101,25025061101,611.01,CT,165282,0,"POLYGON ((-71.056928 42.32855199999999, -71.05262399999999 42.32859699999999, -71.052565 42.327112, -71.052392 42.322976, -71.052093 42.321469, -71.05245599999999 42.321466, -71.052904 42.32286999999999, -71.05685 42.326289, -71.05686799999999 42.326867, -71.056915 42.328035, -71.056928 42.32855199999999))"
16,25,025,061200,1400000US25025061200,25025061200,612,CT,1835771,69804,"POLYGON ((-71.06553 42.336029, -71.06238999999999 42.342965, -71.06106 42.342809, -71.06050999999999 42.343703, -71.05971099999999 42.344701, -71.05825 42.345506, -71.054788 42.346871, -71.052188 42.351121, -71.04545 42.347948, -71.04652299999999 42.347842, -71.044555 42.346545, -71.05237699999999 42.339803, -71.053928 42.340791, -71.05624 42.338869, -71.057112 42.338333, -71.05673299999999 42.337375, -71.053151 42.33152, -71.05276599999999 42.330487, -71.05250099999999 42.329142, -71.05262399999999 42.32859699999999, -71.056928 42.32855199999999, -71.056915 42.328035, -71.05826499999999 42.328629, -71.058241 42.32973399999999, -71.063553 42.330791, -71.062798 42.331973, -71.06461299999999 42.33400899999999, -71.06541399999999 42.335441, -71.06553 42.336029))"
17,25,025,081001,1400000US25025081001,25025081001,810.01,CT,558478,0,"POLYGON ((-71.113016 42.33193199999999, -71.109894 42.335379, -71.110063 42.336307, -71.110697 42.337183, -71.110001 42.340317, -71.10539 42.33786, -71.10093499999999 42.336168, -71.100306 42.335941, -71.10242699999999 42.335149, -71.10491 42.33419, -71.105605 42.332406, -71.105169 42.331012, -71.103081 42.330528, -71.10086099999999 42.330002, -71.098941 42.329133, -71.099368 42.327995, -71.101276 42.32935, -71.10646199999999 42.330666, -71.10850099999999 42.330597, -71.108901 42.330715, -71.109561 42.330967, -71.10959099999999 42.333199, -71.11023899999999 42.333044, -71.112298 42.332003, -71.113016 42.33193199999999))"
18,25,025,090600,1400000US25025090600,25025090600,906,CT,301665,0,"POLYGON ((-71.077146 42.322196, -71.07666399999999 42.322889, -71.075811 42.324146, -71.074641 42.323238, -71.073922 42.323759, -71.07163799999999 42.324647, -71.07266 42.326023, -71.071479 42.326687, -71.069136 42.32505099999999, -71.06750699999999 42.323297, -71.068061 42.321281, -71.06984199999999 42.32156699999999, -71.072204 42.321359, -71.073948 42.320773, -71.07774599999999 42.320431, -71.077146 42.322196))"
19,25,025,092200,1400000US25025092200,25025092200,922,CT,581306,0,"POLYGON ((-71.07211699999999 42.295513, -71.07114899999999 42.295728, -71.07024899999999 42.295996, -71.066976 42.296875, -71.066413 42.297022, -71.06432 42.299205, -71.060163 42.30030199999999, -71.060653 42.298647, -71.06137099999999 42.296066, -71.062259 42.29301, -71.06459 42.292347, -71.065544 42.292043, -71.067578 42.291426, -71.070757 42.290269, -71.07162 42.290402, -71.071769 42.292298, -71.071866 42.293289, -71.071913 42.293933, -71.07211699999999 42.295513))"
