NAME,num_eviction
7317.0,59
7304.01,51
6421.0,50
3840.02,48
3835.01,44
7319.0,40
7320.01,35
7313.0,31
6511.0,29
6402.0,29
6527.0,28
7324.0,27
4134.02,26
3214.0,25
5423.0,25
7316.0,25
6419.0,24
3521.01,24
7106.0,24
6413.0,23
102.03,23
5109.0,23
6507.0,22
7108.0,22
7314.0,22
7612.0,21
7073.0,21
9002.0,21
7312.03,21
2516.0,20
1404.0,20
7107.0,20
3507.0,20
3216.0,20
4223.02,19
6411.01,19
6412.0,19
9001.0,19
6414.0,18
7315.0,18
7325.0,18
6526.0,18
2061.0,18
7105.0,18
7441.02,18
6138.0,17
3831.02,17
5108.0,17
6418.0,17
6410.0,17
6405.0,17
5021.02,16
6409.01,16
7329.01,16
4191.0,16
7311.01,16
7310.02,16
7326.0,16
7327.0,16
7318.0,15
7573.0,15
6420.0,15
7330.0,15
150.02,15
7543.0,15
915.0,14
7544.0,14
7305.0,14
2501.0,14
8012.0,14
3213.0,14
6406.0,14
3834.0,13
6425.0,13
9353.0,13
8023.0,13
6417.0,13
6501.02,13
7312.04,13
909.01,13
6506.0,13
7071.0,12
6519.0,12
6510.01,12
7322.03,12
7110.0,12
7323.02,12
1010.01,12
6505.0,12
913.0,12
6311.0,12
2062.0,12
3119.0,12
3212.0,12
4152.0,12
9213.0,12
153.0,12
3833.0,12
6140.0,11
4224.0,11
4225.01,11
7102.0,11
4180.02,11
902.0,11
5115.0,11
4203.02,11
5302.0,11
2068.0,11
6508.0,11
6512.0,11
8111.01,10
6520.0,10
8021.0,10
8.02,10
8019.02,10
7441.01,10
5442.0,10
1605.02,10
7572.0,10
1005.0,10
6513.0,10
1011.02,10
6422.0,10
2042.0,10
8122.01,10
7092.02,10
7031.0,10
7094.0,10
3501.03,10
3101.0,10
1701.0,10
901.0,10
8122.02,10
3831.01,10
1703.0,9
7121.01,9
8020.0,9
6510.02,9
8019.01,9
8018.0,9
7097.01,9
4135.0,9
6415.0,9
7075.0,9
7096.0,9
1403.0,9
4177.01,9
6514.0,9
7551.0,9
5452.0,9
2069.0,9
7424.02,9
5116.0,9
3112.0,9
7492.0,9
7501.0,9
5107.0,9
5103.0,9
2508.0,9
7033.0,9
3201.04,9
924.0,9
4562.0,8
8001.02,8
8017.0,8
6316.0,8
606.0,8
3103.0,8
3336.0,8
3102.0,8
6509.0,8
